619;126;15062013;28122013;;;;;;;
472;123;15012014;;;;;;;;
755;151;05092012;06022014;;;;;;;
749;141;08112013;;;;;;;;
845;139;12012014;;;;;;;;
850;148;01112013;10012014;;;;;;;
710;152;04092013;;;;;;;;
474;133;22122013;;;;;;;;
814;101;05022014;;;;;;;;
667;157;06092013;06022014;;;;;;;
769;167;10012014;;;;;;;;
839;106;;;;;;;;;
714;154;27112013;;;;;;;;
897;138;;;;;;;;;
871;132;15012014;;;;;;;;
644;109;06092013;10012014;;;;;;;
889;112;01012014;;;;;;;;
857;119;15012014;;;;;;;;
789;118;03012014;;;;;;;;
808;111;19012014;;;;;;;;
778;155;30112013;;;;;;;;
707;116;18012014;;;;;;;;
861;159;05022014;;;;;;;;
658;107;26082013;25012014;;;;;;;
703;113;04022014;;;;;;;;
879;114;19012014;;;;;;;;
806;125;22112013;;;;;;;;
640;110;30102013;10012014;;;;;;;
740;117;23012014;;;;;;;;
764;122;03012014;;;;;;;;
683;143;18122013;;;;;;;;
760;105;20122013;;;;;;;;
786;147;06012014;;;;;;;;
768;135;30112013;10022014;;;;;;;
462;120;05022014;;;;;;;;
726;137;05092013;08012014;;;;;;;
860;124;03112013;13012014;;;;;;;
873;130;05022014;;;;;;;;
837;166;08112013;;;;;;;;
847;150;01112013;;;;;;;;
758;153;10112013;06022014;;;;;;;
63;162;18122013;;;;;;;;
523;131;15082013;27112013;;;;;;;
533;102;18012014;;;;;;;;
759;104;30082013;03012014;;;;;;;
865;129;;;;;;;;;
661;156;14122013;10022014;;;;;;;
594;127;30112013;;;;;;;;
557;170;27072013;13012014;;;;;;;
482;165;08112013;08012014;;;;;;;
743;149;07112013;;;;;;;;
787;134;12072013;;;;;;;;
754;146;01122013;;;;;;;;
509;142;30122013;;;;;;;;
729;145;29092013;;;;;;;;
700;140;23112013;15012014;;;;;;;
529;144;25092013;;;;;;;;
664;121;26112013;;;;;;;;
841;108;;;;;;;;;
708;128;26082013;;;;;;;;
826;103;05012014;;;;;;;;
882;115;05022014;;;;;;;;
849;136;;;;;;;;;
854;158;04112013;;;;;;;;
860;160;03112013;13012014;;;;;;;
851;168;08112013;;;;;;;;
556;161;25012014;;;;;;;;
